ColoEnvPO,id,to,phone,fax,todaysdate,ship,shippingco,for,datereqd,comments,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,qty13,qty14,qty15,qty16,qty17,qty18,qty19,qty20,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,addchg1,addchg2,addchg3,addchg4,addchg5,addchg6,addchg7,addchg8,addchg9,addchg10,addchg11,addchg12,addchg13,addchg14,addchg15,addchg16,addchg17,addchg18,addchg19,addchg20,recvd1,recvd2,recvd3,recvd4,recvd5,recvd6,recvd7,recvd8,recvd9,recvd10,recvd11,recvd12,recvd13,recvd14,recvd15,recvd16,recvd17,recvd18,recvd19,recvd20,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20
14555,5679,PDG,3034337360,,2010-03-18,,,Tewell,2010-03-19,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Colorado Christian University,6 1/2 remittance,"Thanks,",Don,,Prints 1/1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-19,,,,,,,,,,,,,,,,,,,
,5680,Unisource,,,2010-03-18,,,Inventory,2010-03-19,,,,sheets 23 x 35 #60 white hall,,sheets 23 x 35 #70 white hall,,,,,,,,,,,,,,,,,,34000,,4500,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2010-03-19,,2010-03-19,,,,,,,,,,,,,,,
14582,5681,Pepperdines,,,2010-03-19,,,Progressive,2010-03-22,,Poly Plates .107 thick,"""Important Plan Information""",,,#10 envelope,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,17.00/total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-22,,,,,,,,,,,,,,,,,,,
0,5682,INX International Inc.,8007264657,,2010-03-19,fed ex,2nd day,RA,2010-03-23,"


Don",Flexo - Black Product # 1370737-3421,Please fax back pricing please,,Call for pricing and delivery,1-800-726-4657,,,Placed Order with Doug!,,"Thank you , Don",,,,,,,,,,,10 Gallon,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-24,,,,,,,,,,,,,,,,,,,
,5683,Best Cutting Die,8476755522,,2010-03-19,,,Zip Tek,2010-03-24,,Double window for WR/RA,mounted on a saddle,top - 1 5/8 x 1 1/8 - 2 5/8 L x 1 3/4 B,Bottom - 15/16 x 3 5/8 - 3 3/4 L x 1/2 B,,Price per Ann  3/19/10,,,RA flex dies 1 x 3 1/2,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,Complete,,,,,,,,,,,,2010-03-24,,,,,,,,2010-03-24,,,,,,,,,,,
14597,5684,PDG,3034337360,,2010-03-19,,,DPS,2010-03-22,,Can you please output 1 negs from the PDF that I will,e-mail to you,,,DPS - In School Immunization project,#10,"Thanks,",Don,,Prints 1/0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-22,,,,,,,,,,,,,,,,,,,
,5819,Tharco,8005251831,8003621124,2010-05-04,,,Boxes,2010-05-05,"Attention Matt


Thanks  Don",,,,#10 bulk  19 1/2 x 12 1/4 x 8 1/2,Quote # 279227,,,,R-577's 21 3/4 x 12 1/2 x 9 7/8,,,,,thanks,Don,,,,,,,,,1000,,,,,1000,,,,,,,,,,,,,,,$612.00/m,,,,,$689.10/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,Complete,,,,,,,,,,,,,,,2010-05-05,,,,,2010-05-05,,,,,,,,,,,
0,5820,"Mult Plastics, Inc.",8008486982,,2010-03-10,,,window film,2010-03-12,,,,skid (36 rolls) of 8 3/4  window film  .150  13 od,,,,Placed order with Matt,,740-548-4894 Alt phone number,,John our sales rep - 816-916-5114,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-10,,,,,,,,,,,,,,,,,
,5821,Unisource,,,2010-05-04,,,inventory,2010-05-05,,sheets 23 x 35 #28 white hall,,,,Sheets 28 x 40 #24 White hall,,,,,,,,,,,,,,,,5000,,,,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14942,5828,Desert paper,3033752413,,2010-05-07,Ship Via,Truck,DPS,2010-05-15,,SHEETS  42 1/2 x 27 1/4,#28 Brown Kraft,Plus Freight,,,freight included,,,,,,,,,,,,,,,2900,,,,,,,,,,,,,,,,,,,,$184.09/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-11,,,,,,,,,,,,,,,,,,,
14943,5829,PDG,3034337360,,2010-05-07,,,AccuSource Solutions,2010-05-10,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,#10 Rio Grande Savings & Loan,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-11,,,,,,,,,,,,,,,,,,,
14944,5830,National Envelope Corp,3033731780,,2010-05-10,,,I3logix,2010-05-10,,9 x 12 booklet 28#  SKU85822,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,$53.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-10,,,,,,,,,,,,,,,,,,,
0,5964,Pitman,8882748626,3034774266,2010-06-24,,,Jets,2010-06-30,"CUSTOMER # 37D2602

Please confirm you have received this Order to 303-439-0588",1017-P6eqq000,AGF PL N555  008 SC 12 1/4W x 19 7/16,1017-P6esu000,AGF PL N555  008 SC 9 1/2W x 12 1/4W,,MacDerm T100s 037 SC 12 1/4 x 19 1/2 stkybk,1 package = 12 sheets #2228-1225019500P140,,Developer 1077 KWUV8000 ENC Chm ND232,,,,,,,,,,,Fax 1-888-232-9748,100,,100,,,12,,,1,,,,,,,,,,,,4.698/each,,1.609/each,,,19.0639/each,,,223.11/lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,Complete,,,Complete,,,,,,,,,,,,2010-06-24,,2010-06-24,,,2010-06-24,,,2010-06-24,,,,,,,,,,,
,5965,Star Graphics,3034236300,3034247993,2010-06-24,Star,,Inventory,2010-06-28,"               




thanks Don
ph-303-460-1387
fx-303-439-0588",Cans Silicone Spray  SW-945 Rec only 12 can's 6/24/10,Quarts Plate SAV-UR BN-L2,,,,,,,,,,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,7.42/each,16.72/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,,,,,,,,,,,,,,,,,,,2010-06-28,2010-06-24,,,,,,,,,,,,,,,,,,
0,5966,Bartkus Oil Company,3034426000,,2010-07-15,,,HP,2010-07-15,"3501 Pearl st
Boulder, CO 80301",5 Gallon Pails Of Industrial Hydrolic ISO 32,AW- 32,,,,Placed order with Steve!!!,,,,,,,,,,,,,,total,3,,,,,,,,,,,,,,,,,,,,49.25/each,,,,,,,,,,,,,,,,,,,$147.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15259,5967,PDG,3034337360,,2010-06-25,,,team Sports,2010-06-28,,Can you please Output 2 negs  from the PDF'S that I will,E-Mail to you,,,9 x 12 OE,CODE 10-V5,Prints 1/0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-06-28,,,,,,,,,,,,,,,,,,,
15258,5968,PDG,3034337360,,2010-06-25,,,team Sports,2010-06-28,,Can you please Output 2 negs  from the PDF'S that I will,E-Mail to you,,,9 x 12 OE,CODE 10-LB,Prints 1/0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-06-28,,,,,,,,,,,,,,,,,,,
15260,5969,PDG,3034337360,,2010-06-25,,,TCAG,2010-06-28,,Can you please Output 2 negs  from the PDF'S that I will,E-Mail to you,,,A-6 (4 3/4 x 6 1/2),Slimgenics,Prints 1/0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-06-29,,,,,,,,,,,,,,,,,,,
,5781,Star Graphics,3033732420,3033732086,2010-04-15,Star,,Inventory,2010-04-19,"               




thanks Don
ph-303-460-1387
fx-303-439-0588",PMS 7540 Sheet fed INK for printing on Matte Stock,,,ink will be here by Monday at 10 am,showed up at 11:15 am,,,,,,,,,,,,,,,,#1,,,,,,,,,,,,,,,,,,,,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-04-19,,,,,,,,,,,,,,,,,,,
14741,5782,National Envelope Corp,3033731780,,2010-04-16,,,Aerios,2010-04-16,,10 x 13 Catalog #28 ww,,$809.40 - Total,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,67.45/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-04-16,,,,,,,,,,,,,,,,,,,
14780,5783,PDG,3034337360,,2010-04-16,,,Frederic,2010-04-19,,Can you please Output 2 negs  from the PDF'S that I will,E-Mail to you,,,Code A003 RSVP Qwest,,,"Thanks,",Don,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-04-19,,,,,,,,,,,,,,,,,,,
14791,5784,Univenture,7758587007,7758587011,2010-04-16,,,Ross Prt,2009-04-30,,9 1/2 x 12 1/4 paper poly envelopes #10079,,,,,,,,,,,,,,,,,,,Tota/,10000,,,,,,,,,,,,,,,,,,,,.28/each,,,,,,,,,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-04,,,,,,,,,,,,,,,,,,,
,5785,Unisource,,,2010-04-16,,,inventory,2010-04-19,,,,sheets 28 x 40 #60 white hall,sheets 23 x 35 #60 White hall,sheets 28 x 40 #70 whitehall,,,,,,,,,,,,,,,,,,8500,17000,"2, 000",,,,,,,,,,,,,,,,,,88.13,61.5,104.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,2010-04-19,2010-04-19,2010-04-19,,,,,,,,,,,,,,,
14504,5786,Tharco,8005251831,8003621124,2010-04-19,,,Boxes,2010-04-19,"


Thanks  Don",R1048  28 x 11 x 9 brown Boxes,,,,,,,,,,,,,thanks,Don,,,,,,25,,,,,,,,,,,,,,,,,,,,2.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-04-19,,,,,,,,,,,,,,,,,,,
14795,5787,PDG,3034337360,,2010-04-19,,,Leanin Tree,2010-04-20,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Leanin Tree Item # 01188095  Parts Dept,,"Thanks,",Don,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-04-20,,,,,,,,,,,,,,,,,,,
14578,5685,PDG,3034337360,,2010-03-19,,,PrintNet,2010-03-22,,Can you please Output 2 negs  from the PDF'S that I will,E-Mail to you,,,DV Code  102026 & 102024,I only need the blue code off Each PDF,,"Thanks,",Jeff,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-22,,,,,,,,,,,,,,,,,,,
14594,5686,PDG,3034337360,,2010-03-19,,,Frederic Prt,2010-03-22,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Qwest Code EGO636V20,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-22,,,,,,,,,,,,,,,,,,,
0,5687,Pitman,8882748626,3034551794,2010-03-22,,,Jets,2010-03-26,CUSTOMER # 37D2602,1017-P6eqq000,AGF PL N555  008 SC 12 1/4W x 19 7/16,1017-P6esu000,AGF PL N555  008 SC 9 1/2W x 12 1/4W,,1017-KLAFD000,AGF Chm FPC Fin,1017-KWUV8000  AGF Chm ND232 20 ltr Developer,1081-JP-2 Baseline Masking Halm 12 1/4 x 9 1/2,Golden Rod - Jet,5 gal     1589-10009PA VAR Pronto - Blanket Roller wash,KIMO Super Image Remover CorrQuick Fine CTP,1023-LIT-RT1 Lth Register Tabls 250pk 1/4 Round,1321-315-F-8-PR Jomac gloves nitirle pr green small,,,,Spa Silicone Spray 11 oz,,Fax 1-888-232-9748,50,,50,,,2,,1,2,,1,2,     2 packs,6 pair,,,,2 case,,,4.63 each,,,1.59 each,,16.85/each,,219.79/each,35.67/each,,128.55/each,5.95/each,14.95/each,3.51/each,,,,7.58/can,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,Complete,,Complete,Complete,,Complete,,Complete,,,,,Complete,,,2010-03-23,,2010-03-23,,,2010-03-23,,2010-03-23,2010-03-29,,2010-03-23,,2010-03-29,,,,,2010-03-23,,
14593,5688,PDG,3034337360,,2010-03-22,,,Frederic Prt,2010-03-23,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Qwest Code EGO634,,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,,,
14601,5689,PDG,3034337360,,2010-03-22,,,Mail Masters,2010-03-23,What PMS COLOR IS THE RED????,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Community One,Prints 2/0,"Thanks,",Don,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,,,
,5690,Unisource,,,2010-03-22,,,Inventory,2010-03-23,,,,sheets 23 x 35 #60 white hall,6 skids,,,,,,,,,,,,,,,,,,,51000,,,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,
14574,5691,National Envelope Corp,3033731780,,2010-03-22,,,Broomfield print,2010-03-23,,9 x 12 OE Peel and Seal #28 ww,SKU# 4139,,,221.50 total,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,,,
14602,5692,PDG,3034337360,,2010-03-22,,,Ross Printing,2010-03-23,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Dominos,Prints 2/0,"Thanks,",Don,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,,,
14432,5693,Best Cutting Die,8476755522,,2010-03-22,,,Frederic,2010-03-25,,Double window for WR/RA,mounted on a saddle,Top = 1 5/16 x 5 - 7/16 L x 3 3/4 B,Bottom = 1 1/4 x 4 3/16 - 2 11/16 L x 11/16 B,,Price per Ann  3/22/10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-26,,,,,,,,,,,,,,,,,,,
14603,5694,XPEDX,3033752484,,2010-03-22,,,Frederic,2010-03-23,,sheets 25 x 38 #70 Sterling Ultra Matte Text,Item 2271086,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,149.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,,,
14606,5695,PDG,3034337360,,2010-03-23,,,Structure it,2010-03-23,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,CU Foundation,Prints 1/0,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-23,,,,,,,,,,,,,,,,,,,
14607,5696,Best Cutting Die,8476755522,,2010-03-23,,,Frederic,2010-03-26,,Double window for WR/RA,mounted on a saddle,"Top = 1 1/4 x 4 - 1"" L x 3/4 B",Bottom = 2 x 3 - 5 11/16 L x 3/4 B,,Price per Ann  3/23/10,,RA Flex Dies 1 3/8 x 4 1/4,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,Complete,,,,,,,,,,,,,2010-03-26,,,,,,,2010-03-26,,,,,,,,,,,,
14614,5697,PDG,3034337360,,2010-03-23,,,Estes Valley,2010-03-24,,Can you please output 1 negs from the PDF that I will,e-mail to you,,,Estes Valley,Prints 1/0,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-24,,,,,,,,,,,,,,,,,,,
,5698,Unisource,,,2010-03-22,,,Inventory,2010-03-23,,,,sheets 23 x 35 #60 white hall,6 skids,,,,,,,,,,,,,,,,,,,51000,,,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-24,,,,,,,,,,,,,,,,,
14609,5699,PDG,3034337360,,2010-03-24,,,Frederic,2010-03-24,,Can you please output 1 negs from the PDF that I will,e-mail to you,,,Qwest Code EG0633,Prints 1/0,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-24,,,,,,,,,,,,,,,,,,,
14608,5700,PDG,3034337360,,2010-03-24,,,Frederic,2010-03-24,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Qwest Code EG0635,Prints 2/1,"Thanks,",Don,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-24,,,,,,,,,,,,,,,,,,,
14499,5701,Best Cutting Die,8476755522,,2010-03-24,,,IC Group,2010-03-31,"My measurements above are approx the customer wants the dies to match the samples exactly
any questions please call me

Don Polder
303-460-1387",6 x 9 Booklet,Please match supplied sample Exactly,these are approx measuremnets,Seal 1 3/4,Side flaps 1 1/8,Back flap - 5 1/2,,9 1/2 x 12 OE Catalog,Please Match Supplied sample exactly,These are approx Measurements,"Seal 2""",Side flaps 5 1/2 each side,Bottom flap 1 1/8,,Both Dies need to be drilled and tapped for the PHP,chizel on 3 locations both side flaps and seal flap,,for Jobs 14499 & 14504,,,1,,,,,,,1,,,,,,,,,,,,,1024,,,,,,,"`1,244.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,Complete,,,,,,,,,,,,,2010-03-31,,,,,,,2010-03-31,,,,,,,,,,,,
14626,5702,PDG,3034337360,,2010-03-24,,,IPS,2010-03-24,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Western Union CODE DMOE-SPN,prints 2/0,"Thanks,",Don,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-24,,,,,,,,,,,,,,,,,,,
14627,5703,PDG,3034337360,,2010-03-24,,,Denver Post,2010-03-24,Use NEW ART SENT,Can you please output 4 negs from the PDF that I will,e-mail to you,,,national MS #9 remittance,Prints 2/2,"Thanks,",Don,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-21,,,,,,,,,,,,,,,,,,,
,5704,Unisource,,,2010-03-24,,,Inventory,2010-03-25,,,,sheets 23 x 35 #60 white hall,3 skids,23 x 29 #60 white hall,,,,,,,,,,,,,,,,,,25500,,8500,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5705,Unisource,,,2010-03-24,,,Inventory,2010-03-25,,,,sheets 23 x 35 #60 white hall,4 skids,,total = $2049.18,,,,,,,,,,,,,,,,,34000,,,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-25,,,,,,,,,,,,,,,,,
,5706,Best Cutting Die,8476755522,,2010-03-25,,,RA Fex dies,2010-03-26,,,,,,,,,RA Flex Dies 1 1/8 x 4 1/2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-03-26,,,,,,,,,,,,
,5707,Tharco,8005251831,8003621124,2010-03-25,,,Boxes,2010-03-26,"Attention Matt


Thanks  Don",9x12 Boxes 13 x 12 1/8 x 9 1/8 (Brown),Quote # 2792744,,#10 bulk  19 1/2 x 12 1/4 x 8 1/2,Quote # 279227,,R518 - 16 x 12 x 8 Brown,,R-577's 21 3/4 x 12 1/2 x 9 7/8,,,,,thanks,Don,,,,,,1000,,,500,,,500,,1000,,,,,,,,,,,,$560.30/m,,,$612.00/m,,,$447.30/m,,$669.00/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,Complete,,,Complete,,Complete,,,,,,,,,,,,2010-03-26,,,2010-03-26,,,2010-03-26,,2010-03-26,,,,,,,,,,,
0,5708,"Mult Plastics, Inc.",8008486982,,2010-03-25,,,window film,2010-03-30,,,, of 9 1/4  window film  .150  13 od,of 4 1/2 window film .115  18 od,or 3 1/2 window film .115 18 od,,Placed order with charles,,740-548-4894 Alt phone number,,John our sales rep - 816-916-5114,,,,,,,,,,,,10 rolls,10 rolls,10 rolls,,,,,,,,,,,,,,,,,,2.17,2.17,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,2010-04-01,2010-04-01,2010-04-01,,,,,,,,,,,,,,,
0,5878,American Holt Corporation,7814409993,7814409994,2010-05-25,Ground,,RA-2,2010-06-01,,RA-70570 Bearing,RA-70596 Shaft,,For the Score Area,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,,,,,,,,,,,,,,,,,,,2010-06-02,,,,,,,,,,,,,,,,,,,
0,5879,"F. L. Smithe Machine Co., Inc.",8146955521,8146963676,2010-05-24,Ground,,RA 1,2010-06-05,"

This is For Our RA Serial Number 1637

Thanks

Don",WR 5254 plowshare flap,RA-80306 Blade assmbly - Operator side,WR 5255 Plowshare flap,RA 80305 Blade assmbly - Drive side - ON BO,,RA-51615 Closure - Gum Bottles,RH-1536 Gasket - Gum Bottles,,,,,,,,,,,,,,1,1,1,1,,1,1,,,,,,,,,,,,,,59.95,172.95,59.95,172.95,,28.65,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,Complete,Complete,,Complete,Complete,,,,,,,,,,,,,,2010-06-01,2010-07-15,2010-06-01,2010-06-01,,2010-06-01,2010-06-01,,,,,,,,,,,,,
0,5880,Eagle Ridge Paper,8883245399,,2010-05-25,,,Inventory,2010-05-26,,"23 x 35 #60 Ovation Offset - 7,500 sheets per skid","total of 37,500 sheets",,,,,,,,,,,,,,E-mailed Order to Larry,,,,,5skids,,,,,,,,,,,,,,,,,,,,$57.07/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-26,,,,,,,,,,,,,,,,,,,
15070,5881,PDG,3034337360,,2010-05-25,,,Subscriber services,2010-05-25,,Can you please Output 1 negs  from the PDF'S that I will,E-Mail to you,type set,,#10,Subscriber services PO BOX 741092,prints 1/0,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,$13.00,,$10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2010-05-26,,,,,,,,,,,,,,,,,,,
,5882,Star Graphics,3034236300,3034247993,2010-05-26,Star,,Inventory,2010-05-28,"               




thanks Don
ph-303-460-1387
fx-303-439-0588",VIOLET ink Pantone, Tech Roller Blanket Wash,,,,,,,,,,,,,,,,,,,#5,5 gal,,,,,,,,,,,,,,,,,,,16.66,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
